Accession;Organism;Classification;Host;Country
KU147344.1;ST1;ST;Homo sapiens;Mexico
KU147343.1;ST1;ST;Homo sapiens;Mexico
KU147342.1;ST1;ST;Homo sapiens;Mexico
KU147341.1;ST1;ST;Homo sapiens;Mexico
KU147340.1;ST1;ST;Homo sapiens;Mexico
KU147339.1;ST1;ST;Homo sapiens;Mexico
KU147338.1;ST1;ST;Homo sapiens;Mexico
KU147337.1;ST1;ST;Homo sapiens;Mexico
KU147336.1;ST1;ST;Homo sapiens;Mexico
KU147335.1;ST1;ST;Homo sapiens;Mexico
KU147334.1;ST1;ST;Homo sapiens;Mexico
KU147333.1;ST1;ST;Homo sapiens;Mexico
KU147332.1;ST1;ST;Homo sapiens;Mexico
KU147331.1;ST1;ST;Homo sapiens;Mexico
KU147330.1;ST1;ST;Homo sapiens;Mexico
KU147329.1;ST1;ST;Homo sapiens;Mexico
KU147328.1;ST1;ST;Homo sapiens;Mexico
KU147327.1;ST1;ST;Homo sapiens;Mexico
KU147326.1;ST1;ST;Homo sapiens;Mexico
KU147325.1;ST1;ST;Homo sapiens;Mexico
KU147324.1;ST1;ST;Homo sapiens;Mexico
KT374040.1;ST5;ST;Suidae;Philippines
KT374039.1;ST1;ST;Suidae;Philippines
KT374038.1;ST5;ST;Suidae;Philippines
KT374037.1;ST1;ST;Suidae;Philippines
KT374036.1;ST5;ST;Suidae;Philippines
KT374035.1;ST1;ST;Suidae;Philippines
KT374034.1;ST5;ST;Suidae;Philippines
KT374033.1;ST5;ST;Suidae;Philippines
KT374032.1;ST5;ST;Suidae;Philippines
KT374031.1;ST5;ST;Suidae;Philippines
KT374030.1;ST5;ST;Suidae;Philippines
KT374029.1;ST5;ST;Suidae;Philippines
KT374028.1;ST5;ST;Suidae;Philippines
KT374027.1;ST5;ST;Suidae;Philippines
KT374026.1;ST3;ST;Homo sapiens;Philippines
KT374025.1;ST3;ST;Homo sapiens;Philippines
KT374024.1;ST3;ST;Homo sapiens;Philippines
KT374023.1;ST3;ST;Homo sapiens;Philippines
KT374022.1;ST3;ST;Homo sapiens;Philippines
KT374021.1;ST1;ST;Homo sapiens;Philippines
KT374020.1;ST1;ST;Homo sapiens;Philippines
KT374019.1;ST1;ST;Homo sapiens;Philippines
KT374018.1;ST1;ST;Homo sapiens;Philippines
KT374017.1;ST1;ST;Homo sapiens;Philippines
KU159084.1;B. hominis;Species;Homo sapiens;France
KU159083.1;B. hominis;Species;Homo sapiens;France
KU159082.1;B. hominis;Species;Homo sapiens;France
KU159081.1;B. hominis;Species;Homo sapiens;France
KU159080.1;B. hominis;Species;Homo sapiens;France
KU159079.1;B. hominis;Species;Homo sapiens;France
KU159078.1;B. hominis;Species;Homo sapiens;France
KU159077.1;B. hominis;Species;Homo sapiens;France
KU159076.1;B. hominis;Species;Homo sapiens;France
KU159075.1;B. hominis;Species;Homo sapiens;France
KU159074.1;B. hominis;Species;Homo sapiens;France
KU159073.1;B. hominis;Species;Homo sapiens;France
KU159072.1;B. hominis;Species;Homo sapiens;France
KU159071.1;B. hominis;Species;Homo sapiens;France
KU159070.1;B. hominis;Species;Homo sapiens;France
KU159069.1;B. hominis;Species;Homo sapiens;France
KU159068.1;B. hominis;Species;Homo sapiens;France
KU159067.1;B. hominis;Species;Homo sapiens;France
KU159066.1;B. hominis;Species;Homo sapiens;France
KU159065.1;B. hominis;Species;Homo sapiens;France
KU159064.1;B. hominis;Species;Homo sapiens;France
KU159063.1;B. hominis;Species;Homo sapiens;France
KU159062.1;B. hominis;Species;Homo sapiens;France
KU159061.1;ST7;ST;Homo sapiens;France
KU159060.1;B. hominis;Species;Homo sapiens;France
KU159059.1;B. hominis;Species;Homo sapiens;France
KU159058.1;B. hominis;Species;Homo sapiens;France
KU159057.1;B. hominis;Species;Homo sapiens;France
KU159056.1;B. hominis;Species;Homo sapiens;France
KU159055.1;B. hominis;Species;Homo sapiens;France
KU159054.1;B. hominis;Species;Homo sapiens;France
KU159053.1;B. hominis;Species;Homo sapiens;France
KU159052.1;B. hominis;Species;Homo sapiens;France
KU159051.1;B. hominis;Species;Homo sapiens;France
KU159050.1;B. hominis;Species;Homo sapiens;France
KU159049.1;B. hominis;Species;Homo sapiens;France
KU159048.1;B. hominis;Species;Homo sapiens;France
KU159047.1;B. hominis;Species;Homo sapiens;France
KU159046.1;B. hominis;Species;Homo sapiens;France
KU159045.1;B. hominis;Species;Homo sapiens;France
KU159044.1;B. hominis;Species;Homo sapiens;France
KU159043.1;B. hominis;Species;Homo sapiens;France
KU159042.1;B. hominis;Species;Homo sapiens;France
KU159041.1;B. hominis;Species;Homo sapiens;France
KU159040.1;B. hominis;Species;Homo sapiens;France
KU159039.1;B. hominis;Species;Homo sapiens;France
KU159038.1;B. hominis;Species;Homo sapiens;France
KU159037.1;B. hominis;Species;Homo sapiens;France
KU159036.1;B. hominis;Species;Homo sapiens;France
KU159035.1;B. hominis;Species;Homo sapiens;France
KU159034.1;B. hominis;Species;Homo sapiens;France
KU159033.1;B. hominis;Species;Homo sapiens;France
KU159032.1;B. hominis;Species;Homo sapiens;France
KU159031.1;B. hominis;Species;Homo sapiens;France
KU159030.1;B. hominis;Species;Homo sapiens;France
KU159029.1;B. hominis;Species;Homo sapiens;France
KU159028.1;B. hominis;Species;Homo sapiens;France
KU159027.1;B. hominis;Species;Homo sapiens;France
KU159026.1;B. hominis;Species;Homo sapiens;France
KU159025.1;B. hominis;Species;Homo sapiens;France
KU159024.1;B. hominis;Species;Homo sapiens;France
KU159023.1;B. hominis;Species;Homo sapiens;France
KU159022.1;B. hominis;Species;Homo sapiens;France
KU159021.1;B. hominis;Species;Homo sapiens;France
KU159020.1;B. hominis;Species;Homo sapiens;France
KU159019.1;B. hominis;Species;Homo sapiens;France
KU159018.1;B. hominis;Species;Homo sapiens;France
KU159017.1;B. hominis;Species;Homo sapiens;France
KU159016.1;B. hominis;Species;Homo sapiens;France
KU159015.1;B. hominis;Species;Homo sapiens;France
KU159014.1;B. hominis;Species;Homo sapiens;France
KU159013.1;B. hominis;Species;Homo sapiens;France
KU159012.1;B. hominis;Species;Homo sapiens;France
KU159011.1;B. hominis;Species;Homo sapiens;France
KU159010.1;B. hominis;Species;Homo sapiens;France
KU159009.1;B. hominis;Species;Homo sapiens;France
KU159008.1;B. hominis;Species;Homo sapiens;France
KU159007.1;B. hominis;Species;Homo sapiens;France
KU159006.1;B. hominis;Species;Homo sapiens;France
KU159005.1;B. hominis;Species;Homo sapiens;France
KU159004.1;B. hominis;Species;Homo sapiens;France
KU159003.1;B. hominis;Species;Homo sapiens;France
KU159002.1;B. hominis;Species;Homo sapiens;France
KU159001.1;B. hominis;Species;Homo sapiens;France
KU159000.1;B. hominis;Species;Homo sapiens;France
KU158999.1;B. hominis;Species;Homo sapiens;France
KU158998.1;B. hominis;Species;Homo sapiens;France
KU158997.1;B. hominis;Species;Homo sapiens;France
KU158996.1;B. hominis;Species;Homo sapiens;France
KU158995.1;B. hominis;Species;Homo sapiens;France
KU158994.1;B. hominis;Species;Homo sapiens;France
KU158993.1;B. hominis;Species;Homo sapiens;France
KU158992.1;B. hominis;Species;Homo sapiens;France
KU158991.1;B. hominis;Species;Homo sapiens;France
KU158990.1;B. hominis;Species;Homo sapiens;France
KU158989.1;B. hominis;Species;Homo sapiens;France
KU158988.1;B. hominis;Species;Homo sapiens;France
KU158987.1;B. hominis;Species;Homo sapiens;France
KU158986.1;B. hominis;Species;Homo sapiens;France
KU158985.1;B. hominis;Species;Homo sapiens;France
KU158984.1;B. hominis;Species;Homo sapiens;France
KU158983.1;B. hominis;Species;Homo sapiens;France
KU158982.1;B. hominis;Species;Homo sapiens;France
KU158981.1;B. hominis;Species;Homo sapiens;France
KU158980.1;B. hominis;Species;Homo sapiens;France
KU158979.1;B. hominis;Species;Homo sapiens;France
KU158978.1;B. hominis;Species;Homo sapiens;France
KU158977.1;B. hominis;Species;Homo sapiens;France
KU158976.1;B. hominis;Species;Homo sapiens;France
KU158975.1;B. hominis;Species;Homo sapiens;France
KU158974.1;B. hominis;Species;Homo sapiens;France
KU158973.1;B. hominis;Species;Homo sapiens;France
KU158972.1;B. hominis;Species;Homo sapiens;France
KU158971.1;B. hominis;Species;Homo sapiens;France
KU158970.1;B. hominis;Species;Homo sapiens;France
KU158969.1;B. hominis;Species;Homo sapiens;France
KU158968.1;B. hominis;Species;Homo sapiens;France
KU158967.1;B. hominis;Species;Homo sapiens;France
KU158966.1;B. hominis;Species;Homo sapiens;France
KU158965.1;B. hominis;Species;Homo sapiens;France
KU158964.1;B. hominis;Species;Homo sapiens;France
KU158963.1;B. hominis;Species;Homo sapiens;France
KU158962.1;B. hominis;Species;Homo sapiens;France
KU158961.1;B. hominis;Species;Homo sapiens;France
KU158960.1;B. hominis;Species;Homo sapiens;France
KU158959.1;B. hominis;Species;Homo sapiens;France
KU158958.1;B. hominis;Species;Homo sapiens;France
KU158957.1;B. hominis;Species;Homo sapiens;France
KU158956.1;B. hominis;Species;Homo sapiens;France
KU158955.1;B. hominis;Species;Homo sapiens;France
KU158954.1;B. hominis;Species;Homo sapiens;France
KU158953.1;B. hominis;Species;Homo sapiens;France
KU158952.1;B. hominis;Species;Homo sapiens;France
KU158951.1;B. hominis;Species;Homo sapiens;France
KU158950.1;B. hominis;Species;Homo sapiens;France
KU158949.1;B. hominis;Species;Homo sapiens;France
KU158948.1;B. hominis;Species;Homo sapiens;France
KU158947.1;B. hominis;Species;Homo sapiens;France
KU158946.1;B. hominis;Species;Homo sapiens;France
KU158945.1;B. hominis;Species;Homo sapiens;France
KU158944.1;B. hominis;Species;Homo sapiens;France
KU719570.1;ST3;ST;Homo sapiens;Iran
KU719569.1;ST3;ST;Homo sapiens;Iran
KU719568.1;ST3;ST;Homo sapiens;Iran
KU719567.1;ST3;ST;Homo sapiens;Iran
KU719566.1;ST3;ST;Homo sapiens;Iran
KU719565.1;B. hominis;Species;Homo sapiens;Iran
KU719564.1;B. hominis;Species;Homo sapiens;Iran
KU719563.1;B. hominis;Species;Homo sapiens;Iran
KU719562.1;B. hominis;Species;Homo sapiens;Iran
KU719561.1;B. hominis;Species;Homo sapiens;Iran
KU719560.1;B. hominis;Species;Homo sapiens;Iran
KU719559.1;B. hominis;Species;Homo sapiens;Iran
KU719558.1;ST3;ST;Homo sapiens;Iran
KU719557.1;B. hominis;Species;Homo sapiens;Iran
KU719556.1;ST3;ST;Homo sapiens;Iran
KU719555.1;ST3;ST;Homo sapiens;Iran
KU719554.1;B. hominis;Species;Homo sapiens;Iran
KU719553.1;ST3;ST;Homo sapiens;Iran
KU719552.1;B. hominis;Species;Homo sapiens;Iran
KU719551.1;ST2;ST;Homo sapiens;Iran
KU719550.1;ST2;ST;Homo sapiens;Iran
KU719549.1;ST2;ST;Homo sapiens;Iran
KU719548.1;ST2;ST;Homo sapiens;Iran
KU719547.1;ST2;ST;Homo sapiens;Iran
KU719546.1;ST2;ST;Homo sapiens;Iran
KU719545.1;ST2;ST;Homo sapiens;Iran
KU719544.1;ST2;ST;Homo sapiens;Iran
KU719543.1;ST2;ST;Homo sapiens;Iran
KU719542.1;ST2;ST;Homo sapiens;Iran
KU719541.1;ST2;ST;Homo sapiens;Iran
KU719540.1;B. hominis;Species;Homo sapiens;Iran
KU719539.1;ST2;ST;Homo sapiens;Iran
KU719538.1;ST2;ST;Homo sapiens;Iran
KU719537.1;ST2;ST;Homo sapiens;Iran
KU719536.1;ST2;ST;Homo sapiens;Iran
KU719535.1;ST2;ST;Homo sapiens;Iran
KU719534.1;ST2;ST;Homo sapiens;Iran
KU719533.1;ST2;ST;Homo sapiens;Iran
KU719532.1;ST2;ST;Homo sapiens;Iran
KU719531.1;ST2;ST;Homo sapiens;Iran
KU719530.1;ST1;ST;Homo sapiens;Iran
KU719529.1;ST1;ST;Homo sapiens;Iran
KU719528.1;ST1;ST;Homo sapiens;Iran
KU719527.1;B. hominis;Species;Homo sapiens;Iran
KU719526.1;B. hominis;Species;Homo sapiens;Iran
KU719525.1;ST1;ST;Homo sapiens;Iran
KU719524.1;ST1;ST;Homo sapiens;Iran
KU719523.1;B. hominis;Species;Homo sapiens;Iran
KU719522.1;ST1;ST;Homo sapiens;Iran
KU719521.1;ST1;ST;Homo sapiens;Iran
KU719520.1;B. hominis;Species;Homo sapiens;Iran
KU719519.1;ST1;ST;Homo sapiens;Iran
KU719518.1;ST1;ST;Homo sapiens;Iran
KU719517.1;B. hominis;Species;Homo sapiens;Iran
KU719516.1;ST1;ST;Homo sapiens;Iran
KU719515.1;B. hominis;Species;Homo sapiens;Iran
KU719514.1;ST1;ST;Homo sapiens;Iran
KU719513.1;ST1;ST;Homo sapiens;Iran
KU719512.1;B. hominis;Species;Homo sapiens;Iran
KU146575.1;ST5;ST;Testudines;Poland
KT438710.1;ST5;ST;Testudines;Japan
KT438709.1;ST5;ST;Testudines;Japan
KT438707.1;ST5;ST;Testudines;Japan
KT438705.1;ST5;ST;Testudines;Japan
KT438704.1;ST1;ST;Homo sapiens;Japan
KT438703.1;ST9;ST;Homo sapiens;Japan
